countries,GDP
United States,20807269.00
China,14860775.00
Japan,4910580.00
Germany,3780553.00
United Kingdom,2638296.00
India,2592583.00
France,2551451.00
Italy,1848222.00
Canada,1600264.00
South Korea,1586786.00
Russia,1464078.00
Brazil,1363767.00
Australia,1334688.00
Spain,1247464.00
Indonesia,1088768.00
Mexico,1040372.00
Netherlands,886339.00
Switzerland,707868.00
Saudi Arabia,680897.00
Turkey,649436.00
Taiwan[n 5],635547.00
Iran,610662.00
Poland,580894.00
Sweden,529054.00
Thailand,509200.00
Belgium,503416.00
Nigeria,442976.00
Austria,432894.00
Ireland,399064.00
Israel,383425.00
Argentina,382760.00
Philippines,367362.00
Norway,366386.00
Egypt,361875.00
United Arab Emirates,353899.00
Hong Kong ,341319.00
Vietnam,340602.00
Denmark,339626.00
Singapore,337451.00
Malaysia,336330.00
Bangladesh,317768.00
Pakistan (2019),284200.00
South Africa,282588.00
Finland,267856.00
Colombia,264933.00
Romania,248624.00
Chile,245414.00
Czech Republic,241975.00
Portugal,221716.00
Peru,195761.00
Greece,194376.00
New Zealand,193545.00
Iraq,178112.00
Kazakhstan,165730.00
Hungary,149939.00
Qatar,147791.00
Algeria,147323.00
Ukraine,142250.00
Morocco,112220.00
Kuwait,108656.00
Slovakia,101892.00
Kenya,101048.00
Ethiopia,95588.00
Puerto Rico (United States),93968.00
Ecuador,93078.00
Sri Lanka,81120.00
Dominican Republic,77883.00
Guatemala,76191.00
Myanmar,70890.00
Luxembourg,68613.00
Bulgaria,67917.00
Ghana,67337.00
Tanzania,64123.00
Angola,62724.00
Oman,62305.00
CÃ´te d'Ivoire,61502.00
Panama,60286.00
Uzbekistan,59771.00
Costa Rica,59645.00
Belarus,57708.00
Croatia,56768.00
Lithuania,55064.00
Uruguay,54135.00
Serbia,51999.00
Slovenia,51802.00
Venezuela,48610.00
Turkmenistan,47986.00
"Congo, Democratic Republic of the",46062.00
Jordan,42609.00
Azerbaijan,41666.00
Tunisia,39226.00
Cameroon,39036.00
Bolivia,38938.00
Uganda,37733.00
Paraguay,35606.00
Bahrain,34624.00
Latvia,33015.00
Sudan,32576.00
Nepal,32158.00
Estonia,30468.00
Cambodia,26316.00
Macau (China)[n 7],26348.00
El Salvador,24784.00
Senegal,24409.00
Honduras,23984.00
Papua New Guinea,23283.00
Cyprus,23246.00
Trinidad and Tobago,22718.00
Libya,21805.00
Yemen,20948.00
Iceland,20805.00
Afghanistan,19006.00
Zambia,18909.00
Bosnia and Herzegovina,18893.00
Lebanon,18734.00
Laos,18653.00
Mali,17685.00
Georgia,16316.00
Burkina Faso,16082.00
Botswana,15872.00
Benin,15292.00
Gabon,15145.00
Palestine[n 8],14750.00
Mozambique,14557.00
Malta,14290.00
Guinea,14238.00
Jamaica,14228.00
Madagascar,14199.00
Albania,14034.00
Zimbabwe,14002.00
Mongolia,13385.00
Niger,12971.00
Armenia,12813.00
North Macedonia,12510.00
Nicaragua,11905.00
The Bahamas,11560.00
Mauritius,11341.00
Moldova,11241.00
Brunei,10647.00
Chad,10510.00
Rwanda,10428.00
Namibia,10252.00
Equatorial Guinea,10028.00
"Congo, Republic of the",9964.00
Haiti,8347.00
Malawi,8330.00
Tajikistan,7898.00
Kosovo,7484.00
Kyrgyzstan,7480.00
Mauritania,7428.00
Guyana,6806.00
Togo,5719.00
Montenegro,4943.00
Somalia,4918.00
Maldives,4712.00
Barbados,4630.00
South Sudan,4177.00
Sierra Leone,4140.00
Fiji,3932.00
Eswatini,3848.00
Djibouti,3408.00
Burundi,3131.00
Liberia,3068.00
Bhutan,2587.00
Suriname,2538.00
Central African Republic,2321.00
Aruba (Netherlands),2288.00
Eritrea,2075.00
Timor-Leste,1920.00
Lesotho,1906.00
Cabo Verde,1870.00
The Gambia,1806.00
Saint Lucia,1770.00
Belize,1556.00
Solomon Islands,1551.00
San Marino,1410.00
Guinea-Bissau,1392.00
Antigua and Barbuda,1389.00
Comoros,1200.00
Seychelles,1198.00
Grenada,1074.00
Saint Kitts and Nevis,871.00
Vanuatu,864.00
Samoa,829.00
Saint Vincent and the Grenadines,777.00
Dominica,545.00
Tonga,503.00
SÃ£o TomÃ© and PrÃ­ncipe,417.00
"Micronesia, Federated States of",395.00
Palau,251.00
Marshall Islands,225.00
Kiribati,194.00
Nauru,114.00
Tuvalu,45.00
